gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
CEL,0,0,1,0,1,0,1,0,1,1,0,1,1,2,2,2
SLC25A25,420,702,115,321,434,267,622,550,335,247,354,452,755,582,942.82,1060
PTGES2,232,222,54,134,409,409,610,378,452,475,722,728,1164,841,522,751
RALGDS,1017,1689,281,861,1722,1069,2282,2327,1012,687,1193,1154,2243,1843,1292,1965
LCN2,0,1,4,10,25,28,55,13,83,109,221,400,409,296,240,223
KCNJ3,21,10,4,44,1180,1356,316,173,192,131,291,136,305,180,108,175
DNM1,269,547,182,426,293,167,1806,2288,401,234,437,520,3078,2560,1312,1548
NR4A2,98,113,20,75,63,36,228,282,65,55,55,59,182,162,257,366
GPD2,520,771,68,242.3,662,409,791.47,854.87,549,861,596,679.67,1464,1222.02,1815,2131
GALNT5,21,52,33,68,150,79,425,518,280,195,409,273,406,469,149,250
GBGT1,2,8,7,3,51,36,52,63,45,28,83,46,27,35,19,20
ERMN,25,9,0,12,2,0,4,5,3,1,2,0,9,9,1,4
C9orf116,4,10,2,2,0,3,138,198,63,62,1,14,195,68,69,142
CYTIP,9,14,3,11,59,14,38,42,32,26,25,38,92,46,97,152
OLFM1,627,1312,80,779,1046,1121,1186,982,259,242,466,463,1063,652,290,532
ACVR1C,13,6,0,21,484,552,6,4,34,343,2,19,19,36,20,36
FCN1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,12,0
ACVR1,139,274,88,178,538,427,1223,1080,305,238,358,452,1171,1009,655,866
COL5A1,854,1781,1342,1517,8878,5269,27009,18230,8545,5807,18576,20024,19547.99,19676,2571,2736.99
UPP2,14,21,4,23,34,28,60,71,25,22,14,25,37,21,52,71
LAMC3,215,183.97,19,75,89.61,90,176,177,90,86,53,115,234,401,168.93,173
FIBCD1,29,26,4,33,5,3,6,7,0,0,1,7,5,1,0,0
ABL1,2855,4247,923,1592.96,3902,2773,4740,4981,1421,1039,1672,1848,3846,3627,1947,2098.37
FUBP3,1074,1452,243,520,1110,722,1583,1830,501,402,570,621,1300,1256,843,996
TOR1B,564,950,156,318,1198,833,1602,1475,552,416,660,713,1575,1233,1329,1696
TOR1A,353,359,61,144,456,368,558,636,175,126,153,233,508,387,285,439
C9orf78,342,428,65,212,431,375,831.95,1100.96,289,192,182,156,1001.97,649.96,826,1175.98
CRAT,608,757,134,351,2344,2008,3074,1860,2459,2825,4690,4304,9394,6719,4100,5939
USP20,276,361,66,217,689,690,1499,1049,574,433,841,681,1737,1179,668,814
DOLPP1,360,412,37,158,313,198,517,451,162,175,147,196,513,337,459,514
NTMT1,465,484,99,198,567,584,641,695,268,182,311,353,631,431,297,370
MIGA2,549,757,141,274,995,954,975,822,412,566,326,395,806,589,745,899
SH3GLB2,478,716,137,254,1158,1268,1281,1193,502,447,517,526,1528,968,1078,1566
HSPA5,9392,12298,2172,4250,22874,18980,28929,24997,5892,4726,7830,8111,22107,14232,15119,18519
KYNU,19,16,2,19,9,4,4,4,0,0,2,0,5,0,7,9
GAPVD1,1932,2972,469,1273,2317,1685,3037,3033,1333,1039,1372,1722,2556,2215,2358,2543
PSMD5,1152,1146,167,518,1241,927,1378,1144,380,353,496,608,1106,790,615,805
CUTALP,0,2,0,7,10,4,3,3,0,4,2,1,13,11,13,19
ZEB2,1824.01,2862.87,579,1614,4263.36,1983,2799.63,2459.52,1839.81,1582,2485,3535.97,1847.91,2056.58,1076.72,1164.53
PHF19,34,29,22,41,110,104,419,400,129,119,173,150,271,226,114,73
C5,0,0,0,3,7,3,2,3,0,0,2,1,1,4,2,2
TRAF1,0,1,3,40,24,43,48,63,28,27,32,40,67,48,69,91
RAB14,1504,2747,446,1279.81,2232,1722,5156.01,5299,1637,1437,1497,1755,5031,4211.34,4196,5401.11
GSN,234,397,518,709,4918,4098,9670,6197,5629,3937,9384,9323,13681,10712,71748,88278
STOM,155,258,108,162,2100,1961,1084,738,450,542,862,921,2006,1396,1530,2209
DAB2IP,1320,2257,516,900,2329,1739.65,3491,3144.84,1421,1057,2237,1791,2960.76,2697.96,1800,2063
TTLL11,22,34,13,30,36,23,100,79,42,38,41,61,143,111,28,30
MRRF,334,322.15,72,213,537.89,583.94,658.57,609.17,261.9,240,389.93,378.87,653.24,452.25,400.83,514.94
GRB14,39,70,9,39,662,709,209,216,179,192,255,226,812,529,720,1184
RBM18,686,1078.81,185,500,885.11,612.06,1418.59,1827.83,544.1,385,527.07,553.45,1468.76,1087.32,927.16,1244.41
LHX6,173,251,104,110,134,67,108,90,29,20,40,67,89,67,62,63
GCA,20.78,30.28,4,16.36,111.03,168.26,62.19,76.8,21.84,19.38,8.99,19.73,101.01,76.65,195.48,174.32
MORN5,3,3,1,3,2,1,90,191,29,14,0,14,40,13,10,34
NDUFA8,382,360,87,214,808,1160,1235,1224,805,840,1314,1253,2888,1518,2090,2747
IFIH1,7,21,6,39,137,86,56,49,67,50,41,65,163,108,354,502
SLC4A10,1,17,0,32,14,14,9,2,2,5,5,1,5,8,5,4
PSMD14,1674,1709,268,715,1570,1103,1800,1907,737,591,962,1046,2566,1589,1409,1791
STRBP,2633,4077,378,1727,1706,1151,1623,2347,1009,831,568,848,1269,1070,1098,1132
WDR5,1501,1696,266,560,1205,877,2089,1852,553,458,550,688,1693,1331,955,1196
BRD3,1951,3083,498,1236,1554,1183,5092,4674,1013,792,1206,924,2783,2445,1622,1778
EGFL7,413,499,125,210,1002,941,1189,933,656,627,354,418,2044,1458,799,1246
AGPAT2,68,64,17,47,337,368,221,289,239,860,150,185,507,298,461,915
NOTCH1,2604.23,4790.54,348.27,993.2,2193,1220,3382.58,1845.01,1418.1,1118.58,1579,1751,1675.57,1577.58,2060,1951.15
SEC16A,2024,3602,636,1488,3194,2213,4325,4005,1822,1442,1984,2455,2970,2930,2771,2867
INPP5E,427.02,752,131.29,273.06,489.68,372.28,768.92,862.14,228.31,225.34,269.03,266.11,808.41,603.09,588.25,759.21
PMPCA,1365.98,1559,248.71,578.94,1882.32,1570.72,3354.08,2902.86,1100.69,925.66,1386.97,1564.89,4087.59,3022.91,2363.75,3038.79
ENTR1,674.53,1132.23,173.03,470.77,789,569.76,1207.9,1434.92,345.79,299.31,271,450,1467.32,979.88,1162.76,1506.6
CARD9,4,20,1,6,27,17,21,24,18,9,18,15,39,29,17,32
GPSM1,1173,1722,318,595,1018,788,1092,1159,368,236,320,359,1004,895,528,577
C10orf82,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NACC2,113,182,34,144,456.45,289,603,646,246,239,286,270.46,684,668,813,906
CAMSAP1,1662,2711,296,986.04,1309,861,1568.94,1447.89,603,547,799,895,1147.97,1034.02,1243.19,1254.99
LHX3,16,76.81,0,24,5,2,1,0,0,0,0,0,0,0,1,1
TMEM141,40,53,14,30,137,148,170,155,77,68,90,70,235,153,177,254
CCDC183,3,4,0,8,3,5,7,9,7,0,5,4,8,9,4.43,4
MAMDC4,45.25,91,10,31,25,26,158,129.27,14,29,11,4,76,60,64,86
TRAF2,408,435.16,97,185,422,372.02,696.14,719.85,254,227.92,279,269,658.53,414.74,455.3,674.16
LCN12,0,0,0,0,1,0,1,0,1,0,0,0,1,3,0,2
ABCA2,396,572,83,236,562,473,1122,812,454,388,330,392,1363,1092,1141,1246
NMI,17,22,5,29,98,84,95,131,55,36,53,93,208,120,176,258
NEB,25,153,577,1107,1323,1086,22800,8868,67929,58961,109784,113216,37827,52381,24043,24358
SAPCD2,278,306,42,58,150,72,108,148,39,39,20,47,102,67,14,28
UAP1L1,43,39,13,30,138,144,205,251,93,70,118,124,489,362,270,435
