gene_id,10.5_n1,10.5_n2,11.5_n1,11.5_n2,13.5_n1,13.5_n2,15.5_n1,15.5_n2,15.5_n3,15.5_n4,18.5_n1,18.5_n2,P0_n1,P0_n2,Adult_n1,Adult_n2
GNAI3,3452,4102,700,1873,4017,2402,4836,5603,1350,1168,1675,2213,3865,2938,4058,4937
CDC45,795,860,114,213,592,406,526,645,100,76,106,113,294.39,207,149,123
SCML2,148,198,65,100,290,214,363,541,143,75,89,99,141,167,83,95
APOH,2,0,1,0,108,7,2,0,3,3,4,2,5,6,3,1
NARF,1305,1770,291,839,2322,2147,1986,1937,1117,951,1464,1007,1441,1239,1085,1297
CAV2,31,44,15,57,485,353,1435,1655,588,558,516,665,1854,1575,2087,2555
KLF6,911,1108,208,771,1946,1652,2538,2360,1607,1413,2050,2294,2826,2392,4078,4808
SCMH1,201,463,68,251,465,496,931,1079,279,205,197,262,1078,843,732,941
COX5A,743,710,133,333,1661,2131,3131.91,2183.98,1512,1856,2336,2194,6586.91,3944.95,3592.93,5705.91
TBX2,445,713,155,178,717,322,436,558,122,87,139,194,441,421,408,501
TBX4,12,39,39,31,473,99,143,290,62,40,56,46,123,213,127,166
ZFY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGFR,293,656,134,337,532,279,1645,1381,211,170,366,343,558,426,316,513
WNT3,117,184,44,51,23,25,17,11,1,2,0,7,9,7,5,9
WNT9A,76,81,23,81,135,135,427,414,211,127,202,287,710,588,415,622
FER,413,633,92,297,648,554,701,695,357,324,459,525,618,459,658,563
XPO6,1811.11,2802.59,454,1052.5,1727.04,1067,2533.1,2691,871.15,715.13,775.77,978.04,3015.5,2499.97,1542.33,1908.87
TFE3,311,420,70,177,495,377,846,873,252,204,268,332,937,698,763,1019
AXIN2,1178,1693,263,529,481,367,641,739,295,200,383,361,570,562,370,415
BRAT1,300,426,97,150,510,357,567,601,248,149,307,248,485,392,328,373
GNA12,1510,1918.45,316,811.99,2898.79,2034,2527.31,2730,822.8,809,1206.93,1237.6,2289.71,1689.91,1034.78,1370.55
SLC22A18,2,7,5,2,27,30,58,58,35,28,16,39,138,77,256,390
ITGB2,6,9,1,9,109,91,80,36,31,24,62,76,169,113,236,303
IGSF5,0,2.49,0,1,22,5,28,32,17,13.56,4,9,91.58,89,48,75
PIH1D2,33,44,4,30,22,14,131,261,75,41,6,35,178,130,48,94.29
DLAT,774,941,172,364,1786,1682,2832,1976,2007,2209,3822,3438,5694,4623,3514,4432
SDHD,1502,1353,268,718,3238,3324,4512,3728,2828,3361,4500,4058,7729,5393,3727,5185
FGF23,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,1
FGF6,0,0,4,26,16,12,505,430,136,86,184,197,288,228,69,71
CCND2,5608.55,7777.18,1034,2608.85,4984,3615.54,8686.98,10405,2630.61,1634.51,1718,2302,5934.51,4642.92,6200,5546.73
GPR107,793,1110,253,563.75,1983,1404,2470,2304.06,830.53,684,889,1093,2188.5,1736.58,1452.75,1656.32
NALCN,86,82,9,113,236,132,132,102,42,67,15,17,17,17,15,19
BTBD17,209,199,2,37,5,4,44,33,8,7,17,6,35,26,8,7
SLFN12,0,0,0,7,6,0,9,7,4,0,2,3,36.33,15,82,97
TH,58,51,0,19,31,22,247,13,16,113,6,9,14,12,0,1
INS,0,0,0,2,3,1,0,0,0,1,0,0,2,0,0,1
SCNN1G,6,10,0,5,35,6,44,47,26,18,32,10,100,62,248,319
DRP2,142,178,59,184,86,44,531,422,175,101,179,215,677,533,582,633
TSPAN32,44,36,1,25,81,55,31.23,41,16,14,12,12,33,33.57,40,47
LHX2,769,217,0,80,33,11,19,18,3,1,8,15,11,13,4,5
CLEC2D,22,26,21,61.03,214,104,426,288.99,364,415,169,188,819,468.87,1094.98,1398
GMPR,126.69,135,29,41,662.26,824.13,1059.85,617,820.4,567.34,1582,1403.79,2582.65,1444.86,1071.63,1362
GLRA1,20,175,0,21,0,0,0,0,0,0,0,0,0,0,0,0
MID2,123,252,53,156,606,551,962,930,499,371,461,646,906,894,1116,1248
TRIM25,67,87,44,96,451,415,1333,1112,344,262,316,530,1664,1460,2015,2495
DGKE,163,323,42,173,300,230,298,328,98,123,113,147,406,451,280,372
SCPEP1,690,916,168,355,1552,947,2010,2439,643,501,889,1049,1980,1493,1269,1760
MNT,167,367,50,132,225,193,605,732,129,105,168,193,616,522,547,662
HDDC2,397,365,106,169,361,252,225,399,119,134,158,203,518,353,187,240
TPD52L1,58,41,23,36,61,53,210,277,89,95,133,141,341,261,325,442
PEMT,22,16,5,19,60,82,90,55,70,54,88,77,116,75,31,44
CDH1,222,484,97,202,677,223,2948,2883,1153,984,667,1650,4370,3120,7163,10005
CDH4,290,305,107,374,290,106,552,535,180,117,143,242,462,462,31,35
CKMT1A,24,58,15,65,44,23,425,383,283,300,424,549,1554,658,2268,3604
BCL6B,77,110,38,65,297,197,570,459,136,118,183,136,546,391,174,240
CLEC10A,11,11,1,19,36,28,215.98,87,161,128,163,158,356,316,315,593
ALOX12,14,30,5,23,105,174,361,303,129,93,138,184,671,304,579,854
COMT,294.51,307.24,68,189.95,1059.2,869.64,1197.53,1209.47,501.47,480,590.13,680.81,1865.92,1221.79,1043.83,1522.95
RTCA,624,629,94,276,522,385,682,744,210,202,253,274,906,534,322,467
DBT,280,395,94,171,627,460,732,724,386,510,437,366,499,456,932,976
DAZAP2,1328,1375,190,637,1823,1592,2877,3569.88,859,715,949,1466,4866,3603,3588,5979
MCTS1,169,227,46,145,230,191,538,625,158,179,177,224,757,540,428,551
REM1,0,1,0,7,71,82,122,129,47,24,23,43,162,129,66,98
RNF17,38,57,7,24,77,68,31,33,7,12,6,20,6,9,5,2
TRAPPC10,794,1167,198,551,1469,1039,1630,1436,950,738,1213,1194,2127,1917,1700,2031
CCM2,561,545,123,249,690,523,1130,1009,328,246,418,411,875,632,318,432
TBRG4,479,545,80,136.12,457,361,982.5,840.59,311.01,275,472,490,1401.89,978.32,720.25,873.75
TMPRSS2,4,8,3,23,110,44,307,254,223,166,93,151,800,561,895,1392
MX1,4,13,2,6,10,17,31,35,26,22,4,12,85,92,177,299
FAP,108,100,67,102,518,207,1703,1352,643,498,992,978,1677,1453,593,676
GCG,1,0,0,0,0,0,1,1,0,0,0,0,4,3,0,1
NDUFA9,1265,1291,218,591,2708,2626,2150,1829,1710,1959,3016,2879,5885,3551,3833,5199
EGFL6,43,94,173,384,802,595,1389,1688,260,200,394,399,556,502,338,423
LCK,86,66,11,42,207,63,32,58,12,16,15,12,55,50,12,8
TSSK3,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
CTTNBP2,142.53,401.25,60,253.47,199.84,169,384.88,558,151.31,116.57,93.4,127,317.81,269,244.97,312.91
GALNT1,1949,2489,447,1085,4342,2991,4375,5179,1446,1159,1916,2209,4073,3328,1996.01,2257.09
MYF5,20,36,25,33,19,15,361,307,192,118,219,262,160,134,34,51
MKRN2,482.12,815.47,176.64,400.01,810.82,590.18,1204.73,1099.23,640.17,550.09,830.51,773.61,1719.86,1421.9,1018.9,1375.39
PPARG,2,2,1,6,33,20,107,105,120,438,95,130,131,129,158,200
RAF1,2305.85,2893.46,520.35,1158.99,2522.87,2125.71,3482.84,3675.58,1613.56,1244.78,2150.29,1863.91,4507.48,3474.66,2793.4,3690.11
SEPTIN1,72,94,11,36,168,112,89,105,31,30,25,16,98,65,65,91
PDGFB,85,86,32,36,190,59,501,328,226,158,329,328,695,569,350,447
ACVRL1,170,203,62,124,564,208,914,894,460,333,687,570,1017,811,608,780
TAMALIN,100,146,32,60,145,97,282,258,83,64,85,80,306,228,160,303
ACVR1B,567,995,132,445,886,644,1288,1220,512,417,483,491,1104,1004,1718,1989
TOM1L2,301,551.55,124,411,1130,939,1616.65,1630.83,717,538,719,835,2355,1874.56,2391.12,2665
GPA33,0,1,0,3,1,1,1,2,0,0,9,0,8,3,35,73
ZNF385A,173,197,24,67,137,110,588,579,161,92,139,149,1093,819,1293,1718
ITGA5,355,558,223,435,1445,1105,4003,3175,898,567,1545,1700,3572,2837,695,794
GABRA2,43,39,6,91.43,27,38,33.01,20.27,5,20.97,28,14,16.41,14.41,6.9,2.69
WDR77,1585.71,1925.91,289.09,591.39,1644.54,1013.47,2175.46,2082.53,537.1,414.44,630.38,711.26,1897.5,1495.19,1150.99,1380.11
ADORA3,1,1,0,9,10,1.66,36,7,10,3,13,9.1,12,15,7,7
ATP5PB,2974,2811,552,1438,5104,5322,7900.44,6632.61,4617,4422,7413,7046,15311.49,9906.68,8326.3,11026.68
SOX9,578,870,99,522,360,169,1440,2822,504,213,244,233,1068,856,1104,993
HNRNPD,1239.96,2051.97,246,827,802,527,4108.7,4750.77,417,324,298.98,454.98,3313.88,2649.98,1692.93,2072.92
DYNLT1,2144.56,2546.94,360.79,1202.51,2196.17,2058.75,2469.14,2448.67,880.91,729.05,736.99,854.04,2038.41,1402.91,1182.93,1808.6
C1D,610,673,132,374,717,574,904,1358,406,343,402,453,1709,1084,805,1036
GM2A,105,134,37,121,921,891,723,795,335,251,456,706,1025,761,1211,1589
KRIT1,1146.2,1898.19,279.78,1110.76,980.18,741.52,1189.83,1503.06,774.03,655.16,558.46,666.49,1367.17,1449.25,1545.13,1578.24
CLCN4,862.12,1180.36,197,769.12,1702.23,1308.62,1481.04,1514.23,828.5,648.34,1040.21,1141.85,1865.78,1551.03,1935.27,2208.82
GRM6,0,2,0,12,0,0,2,2,0,1,0,0,1,0,0,0
SEMA4F,38,58,14,57,52,20,75,85,16,23,9,11,54,36,40,43
HK2,746,990,170,260,632,462,1483,858,1277,1283,2495,2374,3090,2328,4671,4372
MYO18A,911,1514,248,639,2713,2778,4377,2658,2049,1673,3779,2999,5602.28,4462.99,4830,4611
SEZ6,53,106,0,136,21,14,9,7,2,11,1,3,9,10,13,7
HAAO,0,3,1,5,10,1,2,2,2,4,0,1,6,4,3,13
CD52,1,5,0,4,37,13,17,12,12,11,4,13,41,23,59,77.02
ABHD15,32,25.32,0,15,29,7.88,15.62,15,12,51.86,18.46,22,24.36,13.31,19,24
HOXB6,0,3,0,46,21,9,6,13,3,3,0,0,9,9,11,23
LOXL3,179.18,287.5,88.56,210.36,722.3,431.09,1782.99,2746.13,844.52,365.38,896.12,754.62,2658.53,2503.85,547.23,533.23
TCL1B,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
BTN1A1,7,3,2,28,29,20,4,0,0,12,0,1,4,7,5,14
KAT2B,230,323,45,151,919,857,835,833,640,601,758,924,1231,1254,1823,2305
RAB5B,1041,1300,278,851.97,2045,1633,3437,3285,1243,1015.15,1577,1663,3328,2929,2981,3781.63
CRYBA1,5,9,0,108,2,0,0,1,2,0,1,2,0,1,0,1
DNMT3L,0,3,0,2,6,1,0,0,1,0,0,0,3,3,5,9
AIRE,1,2,0,13,0,0,7,1,1,3,1,0,6,2,0,5
ICOSLG,51,71,18,34,125,56,126,93,53,42,52,75,194,135,489,595
SPG7,607,730,142,276,1042,879,1187,1204,549,432,742,722,1805,1209,1294,1604
RPL13,6780,5346,1557.83,2608.2,9892,9687,7861.84,10323.18,4164.71,2871,4791.66,5482,7876.46,5163.16,4973.73,6496.25
CHMP1A,1032,1052,220,593,1550,1355,2380,2452,847,598,964,1133,2860,1988,2109,2728
RPA1,2266,2458,482,829,2626,1812,2261,2250,623,470,923,859,1972,1424,1248,1400
SERPINF1,485,657,201,338,944,525,2267,2795,1206,732,1591,2087,4598,3271,2472,3714
TUBGCP3,934,1139,167,383,778,497,1334,1716,493,329,330,370,1430,1234,1069,1229
OPRM1,3,2,0,15,4,1,0,0,2,2,0,0,0,0,0,0
POLR3D,365,465,79,189,435,285,711,786,202,135,218,235,571,391,393,555
TCF7,107,158,22,65,235,61,142,113,46,28,41,89,172,147,99,143
DDX3X,10209,14604,1931,5256,9656,6419,10504,13784,4289,3520,4466,5380,9987,9971,11551,12687
IL12RB1,1,0,1,4,16,1,7,3,2,1,3,2,3,4,11,5
SLC5A5,2,5,0,0,1,0,75,71,5,6,28,0,155,25,5,12
KCNN3,26,82,42,140,179,79,850,546,321,222,320,268,434,504,213,224
USP32,689,1148,134,656,836,656,1235,1372,642,567,477,601,1103,1150,1319,1500
CA4,5,9,0,4,19,35,3,0,7,29,14,14,45,51,83,104
TXNRD3,141,211,26,81,234,230,217,211,101,68,99,199,408,349,200,220
FASLG,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,2
ZNF512B,879,1686,474,826,1437,1071,2356,2663,702,517,581,790,2248,2346.89,1048,1239.97
DNAJC5,1918,2677,451,1411,3363,2427,4224,3871,1416,1154,1755,2093,4210,3930,2520,3103
TPD52L2,1191,1371,295,706,1743,1460,2470,2674,943,757,837,975,2567,1887,1609,1972
FMR1,1316,1929,319,959,1205,949,2672,3649,742,649,577,803,1977,1839.01,1433,1488
BCL11A,540,1323,307,770,432,281,350,544.96,119,104,76,151,208,150,247,294
IL4,0,0,0,2,1,0,8,8,2,0,0,0,6,3,0,3
PXMP4,127,181,46,109.11,479,365,543.06,529.15,239,258,282,347,712.91,490.67,372.01,528.46
DLG3,822,1151,147,394,521,287,826,1220,285,223,233,282,853,697,1564,2007
GNB1L,107,115,32,56,143,103,139.73,185,43,44,35,66,162,130,102,93
DBH,11,24,8,28,152,91,390,36,2,152,8,8,9,4,4,2
MMP11,230,375,204,340,1115,586,760,997,150,123,165,196,556,378,243.05,339
SMARCB1,1819.95,2111.73,367.69,880.88,1481.54,1176.77,1745.29,1791.11,496.97,452.87,624.04,789,1940.39,1351.14,1047.98,1411.71
VPREB3,0,0,0,1,1,1,58,12,22,17,6,10,115,48,97,160
HIP1R,262.58,395.35,65.03,115.98,304.86,161.71,581.11,538.66,396.79,341.31,308.31,512.98,1450.33,1156.02,2100.91,2372.26
NSUN5,280.82,341.26,53.63,114.06,209.35,162.16,387.3,374.29,149.84,132.66,149.8,151.04,463.18,308.14,309.36,391.28
TOP1MT,76,101,17,46,105,128,240,246,105,108,92,126,248,179,154,158
HOXA10,0,0,0,6,14,8,0,0,0,0,0,0,2,4,0,0
HOXA4,3,23,5,69.69,173.9,56,90.95,218.96,37.94,29,32,27,150.84,142.94,57.94,84.94
MMP14,744,1146,452,810,4052,2278,6356,7168.5,1867,1262,2500,2901,6802.14,5548.13,1198.45,1915.57
SLC7A7,62.16,46.14,7,31.07,369.15,334.89,201.62,168.47,102.27,78.27,130.25,119.72,221.22,179.71,133.41,260.63
OXA1L,790.84,891.86,193,456.93,1627.85,1276.11,1637.38,1948.53,627.73,586.73,933.75,991.28,2602.78,1662.29,1016.59,1584.37
HEATR6,678,927,163,364,677,435,694.09,814,262,249,295,370,588.44,456,468,561
CCL3,0,3,1,8,12,6,3,5,1,5,1,1,11,6,1,2
ICAM4,21,12,0,0,34,17,1,1,1,0,1,0,3.92,3,16.66,27.54
ILF2,4062.23,4656.1,654.8,1697.44,2952.93,2009.28,2428.81,3291.03,713.47,604.98,940.27,1006.38,2280.25,1566.74,1064.85,1405.94
CHTOP,2685,3102,612,1422,2610,1930,4471,4975,1163,884,1233,1435,3908,2952.01,2904,3814
SNAPIN,295.86,293.05,75.3,199.18,494.02,421.44,961.74,1316.74,391.12,328.59,492.41,572.08,1747.27,1439.89,1030.06,1543.86
S100A4,3,9,3,5,43,41,109,112,106,83,159,210,1033,541,1515,2397.69
S100A3,0,0,1,11,2,3,26,22,15,11,14,12,67,30,111,264.95
S100A5,0,0,0,0,0,0,4,4,2,0,2,0,4,6,2,3
S100A6,44,26,16,45,381,357,3105,3193,1785,1217,1035,1664,12272,5083,9187,16308
SCN4A,7,5,5,23,42,40,617,262,528,437,1124,1102,1634,1665,1949,2037
ICAM2,61,79,43,65,555,522,493,300,153,107,222,220,357,275,120,155
MAPK7,707,959,180,344,609,440,1055,1209,222,129,244,267,733,593,385,464
EPN2,558,806,123,377,792,632,1206,1080,420,386,426,503,1349,1138,1398,1735
B9D1,353,277,38,122,274,200,366,521,129,90,86,71,275,159,166,249
SEC24B,746,1446,211,577,943,644,2054,2186,597,483,617,712,1859,1620,1494,1898
N4BP3,167,146,60,76,273,180,753,581,208,136,235,217,329,228,511,607
RMND5B,253,263,67,196,535,420,656,629,276,190,337,380,838,577,464,683
NHP2,806,593,108,241,670,537,658,807,247,242,245,389,763,478,720,777
VPS9D1,231,352,62,163,303,300,553,621,143,120,155,186,754,572,472,652.52
ZNF276,378.24,747.9,112.62,201,328,265.56,706.97,608.45,223.64,183.48,139,185,606.1,450.94,535.78,622.54
C1QL4,7,12,0,13,1,2,0,0,0,0,0,0,1,1,0,0
MFSD10,266,293,93,120,455,269,785,830,199,121,269,270,824,651,424,564
LUZP1,1845,3206,374,975,1941,1328,2750,2950,1139,931,1032,1288,2125,2235,2379,2363
SLC13A2,0,0,0,0,1,0,23,9,25,25,5,6,316.91,133.9,212.96,504.74
KCTD10,1025.64,1483.03,243,576.7,1785.52,1288,2546.77,2895.6,860.86,611.38,895.18,991.66,2304.49,1741.24,2000.75,2560.7
POLDIP2,960,1011,258,565.05,1757,1432,2043,2139,1030,997,1243,1369,2966.16,2079,1095,1588.04
SEBOX,0,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0
IFT20,235,246,72,159,489,451,1201,1615,381,242,279,339,1404,970,894,1080
COL6A1,156,309,923,954,6779,2703,27795,18475,10230,6857,21099,20305,27874,26440,6012,6228
PCBP3,337,431,52,166,296,208,392,245,57,78,95,52,255,137,69,124
LGALS9,21,29,11,39,475,446,649,469,257,221,401,452,1138,870,420,733
ARAF,666,1050,214,526,947,919,1982.01,1937,882,816,793,858,3069.31,2671.09,1998.11,2497.8
CFP,49,63,7,15,48,27,169,75,50,44,96,98,225,211,211,297
TIMP1,44,54,11,39,300,257,353,494,175,63,205,253,780,474,139,194
UXT,212,150,18,62,240,201,218.26,213.4,90,103,93,134,351.47,230.4,168.24,265.1
CNNM3,225,367,78,159,398,268,773,713,223,174,248,257,833,631,564,780
LMAN2L,206,339,55,144,438,371,820.34,883.12,148,164,195.02,142,679.75,510.06,628.87,714.06
MCM3AP,1235,1830,297,669,1191,829,1726.83,1576.82,759,618,975,1018,1733,1485,1007.82,1161
PCNT,1163,2179,247,456,1063,732,2215,1944,1541,1130,2125,1520,2044,2076.99,2075,2021
FTCD,0,1,0,10,38,35,4,1,0,1,0,0,15,12,1,5
MXD1,229,328,61,195,382,315,557,610,286,221,189,271,803,483,3140,5202
GMCL1,482,650,136,353,457,294,826.06,1040.07,188,177,143,186,540.09,358,535,712.87
SNRNP27,446,442,80,240,431,452,921,1130,307,306,444,395,1317,765,703,982
OAS1,25,13,2,30,35,40,43,64.94,40,34,46,27,148,108.03,140,232
OCRL,492,741,133,432,603,443,1058.91,1226.25,381,329,280,408,1125.56,1199.34,856.94,1040.66
CALM1,6396,6699,965,3223,9022,6080,11192,12819,4786,3734,5217,5448,12904,7366,7314,10825
AGPAT3,550,592,131,355,1277,944,3026,2256,1388,1404,1981,2632,5635,5283,1665,2671
SLC26A3,0,0,0,17,2,6,0,0,0,1,0,0,1,1,1,1
SEMA6B,62,100,33,82,111,46,564,461,108,87,192,132,256,219,75,80
UHRF1,4489,4608,615,1123,2577,1402,2433,2461,477,369,659,550,1644,1016,620,316
DPP9,759,1019,158,317,656,498,1455,1176,379,305,529,506,1197,977,905,1129
RAMP2,123,135,40,87.72,990.73,866.46,965.3,854.21,367.59,247.31,485,551.04,962.42,582.21,686.41,725.66
LSR,241.04,229.69,53.17,80.44,525.46,301.53,435.79,516.5,213.92,166.35,195.06,326.9,647.13,409.62,669.29,1272.99
GRAMD1A,1054,2167,316,673.41,787,605,1584,1716.04,680,502,434,470,1971,1597.78,1213,1441
HPN,12,21,7,16,91,32,124,126,51,33,16,47,249,184,181,340
GABRG1,11,9,0,16,2,2,0,1,0,2,1,1,1,4,0,0
CKB,7360,5300,98,1025,1831,1591,892.3,837.33,446,313,585,703,1156.47,755.15,405.93,668.35
SP1,2138,3802,669,1545,3065,1767,4232,4897,1841,1479,1708,2112,2815,2934,2934,3274
ITGB7,8,14,3,5,46,8,130,45,83,54,18,54,176,95,275,429
MYG1,647,648,127,254,696,590.13,644.18,766.7,208,149,228,232,599.64,366.37,316.98,429.12
RARG,546,746,340,500,686,320,2139,3488,606,393,522,624,2264,1538,3181,4210
PFDN5,1272,1048,311,823,2083,2041.87,1776.82,2252.3,927,707,1057,1181,2452.36,1525.63,1586.02,2331.88
EFNB2,994,1551,185,774,1240,749,1974,2102,452,405,487,569,1424,1131,996,1305
RRP15,507,547,112,203,438,395,674,774,167,135,215,307,577,416,311,382
RND2,513.07,960.01,29,274,206,213.02,278,337.01,66,58,64,60,318,205,121.02,190
SRR,239.45,378.98,78.09,284.38,579.38,529.8,843.44,1043.42,395.77,298.85,500.35,524.99,908.89,675.91,514.16,534.99
SYNC,2,12,10,18,84.08,69,551.49,424.66,340.29,287.54,658.06,538.69,619.33,503.16,277.23,273.73
FNDC5,28,50,94,136,486,380,2801,1776,793,514,1278,908,1968,1323,901,1229
ACP5,107,90,7,26,120,147,224,194,77,103,285,710,722,411,754,918
CNN1,13,12,2,14,2780,2527,137,85,61,37,100,181,215,300,113,169
FBXO9,217,236,45,148,399,374,1015,917,512,414,551,568,1586,1075,1017,1461
VPS50,823,1114,160,485,899,626,922,920,367,286,387,520,1027,863,811,974
HARS1,1175.72,1374.88,270,557,1654.68,1170,1598.65,1860.02,599.62,445,993,942,1842.03,1286.08,1161.62,1390.13
ZMAT2,1052,1078,188,534,975,815,1333,2108,361,315,434,521,2089,1169,1310,1783
UBE2C,1494,1247,191,435,1390,964,938.78,960.21,192,155,253,228,503.91,333.18,90.21,233.8
SMG5,1986,2745,341,792.01,1884,1518,2619.27,2139.19,875,663,802,743.02,2815.11,2039.24,1747.31,2147.42
CCT3,7023,7722,1214,2716,7160,5008,7146,7466,2072,1796,3473,3748,6774.99,4106,3515,4527
GLMP,311.72,428.81,97,256.7,1044.32,801.1,1299.17,1371.33,357.41,309.98,391.61,527.32,1537.91,957.15,1174.9,1867.29
MEF2D,244.55,421.3,112.98,268.29,1191.35,1101.45,4185.5,2642.84,1317.71,952.63,1952.64,2050.8,4918.94,4876.44,3406.56,4111.82
TMEM79,13.28,18.19,4,14.3,27.68,15.9,132.83,103.67,99.59,175.02,103.39,256.68,368.08,183.85,1043.68,1101.71
SND1,2499,3524,831,1590,5344,4167,3690,4081,1709,1255,2553,2802,3402,2381,2047,2471
COL18A1,2565,3772,542,989,7018,6448,5724,3244,1653,1244,3205,3103,4462,3658,1116,1252
SLC19A1,190,279,52,103,246,156,379,474,83,85,128,105,385,255,241,217
KPNB1,12289,15779,1958,4471,10839,6693,11267,11478,3011,2310,3951,4432,7490,5974,5120,5471
NPEPPS,905.29,1450.32,174.5,782.35,1276.68,1056.89,3084.85,2818.56,833.06,772.46,867.57,951.02,2605.15,1934.54,2583.49,3041.15
TBX21,3,12,0,5,4,0,7,6,5,7,16,8,23,16,19,41
MRPL10,550,606,142,335,966.94,781,1199.92,1370,488.99,481,648.99,687.99,1442.73,935.79,751.96,1208
CYP51A1,2258,2783,337,989,1853,1009,1612.63,1505.28,524,490,833,777,1591,1139,1731.67,2207.13
TCF25,2363,3281,656,1604,4310,3496,4943,4654,2100,1729,2701,3081,7415,5873,5126,6283
TUBB6,519,425,177,298,1581,957,7518,5431,1487,963,3003,2337,4243,3149,570,748
DEF8,511,530,115,256,744,503,1031,1063,340,248,496,444,1500,1083,1004,1187
MEOX1,18,69,103,131,240,154,690,1215,235,199,252,282,756,464,181,264
SOST,11,25,1,7,84,70,25,11,14,5,41,21,47,25,3,0
NKX2-1,53,5,1,6,42,19,229,297,21,22,0,2,382.36,440,394,619.72
PAX9,106,227.91,114,186.93,96,8,964.89,732.82,437.94,422.93,324.96,765,1054.52,567.74,2428.77,2761.53
IRX2,218,434,40,175,103,36,166,370,42,46,71,80,214,162,341,499
COL1A1,586,1075,1538,1961,21551,13885,92796,48393,33273,19222,94189,103517,67579,66233,9380,8223
ITGA3,216,420,58,142,741,675,688,580,330,248,211,373,1249,744,1429,1926
SGCA,0,0,7,12,153,153,649,304,494,411,1125,994,2159,1363,822,1046
DLX3,54,158,48,82,16,8,56,66,18,17,52,68,37,16,223,185
FOXM1,1136,1526,141,357,750,469,1287.9,1418.92,171,133,215,196,818,687,220,224
ITFG2,289,342,52,197.34,319.66,243,525.01,636.42,162.99,134,72,117,635.62,513.4,354,490.52
NRIP2,25,63,9,34,65,52,160,134.09,52,42,67,70,169,161,87,120
TULP3,254,437,75,182.9,356.36,217,1823.99,2091.77,309.41,224,205,273.31,1130.96,875.74,760.09,1008.31
GTF2H4,255,243,40,94,231,155,344,366,116,87,124,139,310,221,182,231
TUBB,46797,51148,7762,21095,43943,31044,20679,25141,6298,4978,10421,10273,14629,9777,4346,4827
ELL2,175,199,26,90,267,151,774,999,396,391,513,533,899,711,1391,1534
JUP,491,680,189,386,1833,1620,2790,2114.93,1317,1076,1620,2714,4906,2756,10089,13517
FKBP10,565.87,706.95,345,587,4425.97,3046.99,4492.51,5367.92,1517.99,801.95,2230.91,2527.99,4898.37,4123.56,825.69,887.81
KLHL10,6,7,4,3,10,4,18,20,8,4,15,10,22,12,6,8
MNX1,1,0,1,5,0,1,3,3,0,1,0,2,1,0,0,0
NOM1,597.05,841.42,147.25,671.28,616.44,463.3,824.24,960.66,398.74,388.77,391.48,543.09,1051.38,825.19,724.97,917.73
ERGIC1,1767,2033,463,1105,4181,2761,4680,5187,1468,1084,2146,2077,3836,2861,1583,2155
TNK1,10.66,18.25,2.16,8.95,54.38,18.77,96.17,132.94,45.57,30.46,34.37,75.42,254.45,153.29,356.85,541.45
ACAP1,6,18,2,18,96,81,23,13,6,8,7,4,39,21,41,36
TCEA3,6,6,5,15,241,439,393,391,239,154,373,297,812,432,635,1084
CSN3,1,4,0,9,3,0,1,0,10,20,8,30,69,29,0,0
IFRD1,424.91,565.42,84.68,229.89,306.35,189.65,853.72,914.2,354.15,276.74,218.57,414.55,1843.69,1501.33,1413.46,1827.07
STK38L,205.2,296.08,41.85,120.58,470.66,319.45,647.12,873.21,299.64,241.13,303.71,300.5,955.36,700.57,924.96,1119.11
BRPF1,800,1150,180,367,792,442,1180.95,1324,394,329,388,508,1076.87,886.97,732.85,862.89
AKR1B1,897.79,1005.25,178.66,346.91,1863.77,2029.03,1695.14,1112.61,604.78,455.95,828.6,912.37,2169.18,1469.89,1504.72,2017.65
HOXC13,2,0,0,6,1,0,16,0,0,2,2,0,1,0,0,0
HOXC11,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
HOXC8,0,0,0,5,4,15,1,0,0,2,0,0,0,0,0,0
HOXC6,0,0,2,7,10,4,1,0,0,1,0,0,0,0,0,0
DDT,300,212,34,137,204,180,239.5,352,147,162,151,116.92,348,217.74,434,700
TAT,0,0,0,4,3,2,7,12,2,0,1,3,0,4,0,0
MARVELD3,1,8,2,13,20,17,105,95,52,52,26,44,263,135,421,702
DDX18,1332.98,1548.36,248,437.53,1270.94,779,1083.12,1264.08,330.78,246.54,468,522.01,912.04,599.85,620.81,818.54
UBL3,579,679,146,418,1183,946,1431,1646,961,747,1224,1233,1748,1221,2039,2539
GRAMD2B,161,206,67,145,453,442,996,1166,349,245,309,523,1636,982,1768,2648
EEF1E1,469,442,67,224,296,259,608,659,132,105,192,199,484,341,334,444
AKT1,2663,3349,727,1721,6740,5983,8058,7953,2746,2003,3813,3726,7193,5574,2245,3112
CLDN15,8,16,1,5,111,197,20,13,13,32,25,34,37,52,13,32
IL16,15.27,47.48,23,48.39,231.97,129.18,364.59,668.14,233.32,143.51,159.58,232.08,591.22,437.73,569.1,631.18
